time,uptime_ms,tick,action,state,x,y,detail
2025-08-19 15:25:59,29,0,INIT,FALL,48,48,spawn
2025-08-19 15:26:00,367,0,REC_ON,FALL,48,48,
2025-08-19 15:26:00,368,0,SPEED,FALL,48,48,3
2025-08-19 15:26:02,2204,33,ENTER_STATE,LAND,48,704,FALL->LAND
2025-08-19 15:26:02,2953,49,ENTER_STATE,IDLE,48,704,LAND->IDLE
2025-08-19 15:26:03,3661,64,DRAG_START,DRAG,48,688,
2025-08-19 15:26:03,4145,74,DRAG_END,FALL,366,106,
2025-08-19 15:26:05,5530,104,ENTER_STATE,LAND,366,690,FALL->LAND
2025-08-19 15:26:06,6285,120,ENTER_STATE,IDLE,366,690,LAND->IDLE
2025-08-19 15:26:07,7199,139,DRAG_START,DRAG,366,688,
2025-08-19 15:26:07,7652,149,DRAG_END,FALL,778,95,
2025-08-19 15:26:08,9114,180,ENTER_STATE,LAND,778,703,FALL->LAND
2025-08-19 15:26:09,9859,196,ENTER_STATE,IDLE,778,703,LAND->IDLE
2025-08-19 15:26:10,10659,213,DRAG_START,DRAG,778,688,
2025-08-19 15:26:11,11365,228,DRAG_SHORT_LIFT,IDLE,778,688,
2025-08-19 15:26:12,12407,250,DRAG_START,DRAG,778,688,
2025-08-19 15:26:12,13046,263,DRAG_SHORT_LIFT,IDLE,784,688,
2025-08-19 15:26:16,16843,344,DRAG_START,DRAG,784,688,
2025-08-19 15:26:17,17396,356,DRAG_END,FALL,907,541,
2025-08-19 15:26:17,17940,368,ENTER_STATE,LAND,907,693,FALL->LAND
2025-08-19 15:26:18,18667,383,DRAG_START,DRAG,907,693,
2025-08-19 15:26:19,19501,401,DRAG_SHORT_LIFT,IDLE,907,688,
2025-08-19 15:26:19,20081,413,DRAG_START,DRAG,907,688,
2025-08-19 15:26:21,21272,439,DRAG_SHORT_LIFT,IDLE,908,688,
2025-08-19 15:26:22,22376,462,DRAG_START,DRAG,908,688,
2025-08-19 15:26:23,23318,482,DRAG_SHORT_LIFT,IDLE,956,688,
2025-08-19 15:26:25,25250,524,DRAG_START,DRAG,956,688,
2025-08-19 15:26:25,25843,536,DRAG_SHORT_LIFT,IDLE,976,688,
